Series,Model,MAE,RMSE,MAPE,Bias,MASE
Toria,RandomForest,505.733,531.468,10.19,-505.733,1.214
Toria,RidgePoly2,112.302,114.852,2.284,54.587,0.27
Urad,"ARIMA(1,1,0)",252.014,294.427,4.058,-252.014,0.63
Urad,CAGR,175.243,186.327,2.815,-175.243,0.438
Urad,Drift,183.333,202.073,2.95,-183.333,0.458
Urad,Ensemble,186.487,198.7,2.995,-186.487,0.466
Urad,GradBoost,400.0,424.264,6.429,-400.0,1.0
Urad,Holt,188.889,200.462,3.034,-188.889,0.472
Urad,Linear,188.889,200.462,3.034,-188.889,0.472
Urad,Naive,400.0,424.264,6.429,-400.0,1.0
Urad,RandomForest,464.0,481.158,7.455,-464.0,1.16
Urad,RidgePoly2,126.397,135.246,2.037,-126.397,0.316
Wheat,"ARIMA(1,1,0)",38.207,47.216,1.907,38.207,0.637
Wheat,CAGR,82.75,88.197,4.126,82.75,1.379
Wheat,Drift,61.667,67.392,3.075,61.667,1.028
Wheat,Ensemble,68.889,73.118,3.435,68.889,1.148
Wheat,GradBoost,60.0,63.77,2.994,-60.0,1.0
Wheat,Holt,68.889,73.118,3.435,68.889,1.148
Wheat,Linear,68.889,73.118,3.435,68.889,1.148
Wheat,Naive,60.0,63.77,2.994,-60.0,1.0
Wheat,RandomForest,88.522,91.591,4.42,-88.522,1.475
Wheat,RidgePoly2,106.976,121.53,5.332,106.976,1.783
