Series,Model,Season_Label,Year,Forecast
Masur (Lentil),RandomForest,2024-25,2024,5349.2
Masur (Lentil),GradBoost,2022-23,2022,5500.0
Masur (Lentil),GradBoost,2023-24,2023,5500.0
Masur (Lentil),GradBoost,2024-25,2024,5500.0
Masur (Lentil),Ensemble,2022-23,2022,5822.7
Masur (Lentil),Ensemble,2023-24,2023,6173.7
Masur (Lentil),Ensemble,2024-25,2024,6528.7
Moong,Naive,2022-23,2022,7275.0
Moong,Naive,2023-24,2023,7275.0
Moong,Naive,2024-25,2024,7275.0
Moong,Drift,2022-23,2022,7700.0
Moong,Drift,2023-24,2023,8125.0
Moong,Drift,2024-25,2024,8550.0
Moong,Linear,2022-23,2022,7900.5
Moong,Linear,2023-24,2023,8262.6
Moong,Linear,2024-25,2024,8624.7
Moong,RidgePoly2,2022-23,2022,7700.7
Moong,RidgePoly2,2023-24,2023,7986.5
Moong,RidgePoly2,2024-25,2024,8268.2
Moong,CAGR,2022-23,2022,8031.5
Moong,CAGR,2023-24,2023,8497.1
Moong,CAGR,2024-25,2024,8989.6
Moong,Holt,2022-23,2022,7436.8
Moong,Holt,2023-24,2023,7503.2
Moong,Holt,2024-25,2024,7569.6
Moong,"ARIMA(1,1,0)",2022-23,2022,7318.2
Moong,"ARIMA(1,1,0)",2023-24,2023,7341.8
Moong,"ARIMA(1,1,0)",2024-25,2024,7354.7
Moong,RandomForest,2022-23,2022,7238.8
Moong,RandomForest,2023-24,2023,7238.8
Moong,RandomForest,2024-25,2024,7238.8
Moong,GradBoost,2022-23,2022,7275.0
Moong,GradBoost,2023-24,2023,7275.0
Moong,GradBoost,2024-25,2024,7275.0
Moong,Ensemble,2022-23,2022,7800.2
Moong,Ensemble,2023-24,2023,8193.8
Moong,Ensemble,2024-25,2024,8587.3
Nigerseed,Naive,2022-23,2022,6930.0
Nigerseed,Naive,2023-24,2023,6930.0
Nigerseed,Naive,2024-25,2024,6930.0
Nigerseed,Drift,2022-23,2022,7650.0
Nigerseed,Drift,2023-24,2023,8370.0
Nigerseed,Drift,2024-25,2024,9090.0
Nigerseed,Linear,2022-23,2022,7871.8
Nigerseed,Linear,2023-24,2023,8529.6
Nigerseed,Linear,2024-25,2024,9187.4
Nigerseed,RidgePoly2,2022-23,2022,7768.7
Nigerseed,RidgePoly2,2023-24,2023,8509.2
Nigerseed,RidgePoly2,2024-25,2024,9299.9
Nigerseed,CAGR,2022-23,2022,8323.8
Nigerseed,CAGR,2023-24,2023,9389.4
Nigerseed,CAGR,2024-25,2024,10591.4
